Entity,Code,Year,"Average harmonised learning outcome score (Altinok, Angrist, and Patrinos (2018)) ","Average harmonised learning outcome score (Altinok, Angrist, and Patrinos (2018)) ",Year,Population (historical estimates),Continent
Abkhazia,OWID_ABK,2015,,,,,Asia
Afghanistan,AFG,2015,,,,34413603,Asia
Africa,,2015,,,,1182438803,
Akrotiri and Dhekelia,OWID_AKD,2015,,,,,Asia
Albania,ALB,2015,436.73,,,2890524,Europe
Algeria,DZA,2015,375.14,,,39728020,Africa
American Samoa,ASM,2015,,,,55806,Oceania
Andorra,AND,2015,,,,77993,Europe
Angola,AGO,2015,,,,27884380,Africa
Anguilla,AIA,2015,,,,14279,North America
Antarctica,ATA,2015,,,,,Antarctica
Antigua and Barbuda,ATG,2015,,,,93571,North America
Argentina,ARG,2015,429.38,377.66,1995,43075416,South America
Argentina (Buenos Aires),,2015,414.19,,,,
Armenia,ARM,2015,,,,2925559,Asia
Aruba,ABW,2015,,,,104339,North America
Asia,,2015,,,,4432314335,
Australia,AUS,2015,509.22,475.87,1985,23932499,Oceania
Austria,AUT,2015,519.54,529.96,1995,8678667,Europe
Austria-Hungary,OWID_AUH,2015,,,,,Europe
Azerbaijan,AZE,2015,,,,9622741,Asia
Baden,OWID_BAD,2015,,,,,Europe
Bahamas,BHS,2015,,,,374200,North America
Bahrain,BHR,2015,452.36,,,1371853,Asia
Bangladesh,BGD,2015,,,,156256287,Asia
Barbados,BRB,2015,,,,285327,North America
Bavaria,OWID_BAV,2015,,,,,Europe
Belarus,BLR,2015,,,,9439424,Europe
Belgium,BEL,2015,529.11,,,11287931,Europe
Belgium Flemish,,2015,541.15,497.95,1985,,
Belize,BLZ,2015,,,,360926,North America
Benin,BEN,2015,,,,10575962,Africa
Bermuda,BMU,2015,,,,63695,North America
Bhutan,BTN,2015,,,,727885,Asia
Bolivia,BOL,2015,,,,10869732,South America
Bonaire Sint Eustatius and Saba,BES,2015,,,,24571,North America
Bosnia and Herzegovina,BIH,2015,,,,3429362,Europe
Botswana,BWA,2015,398.47,,,2120716,Africa
Bouvet Island,BVT,2015,,,,,Antarctica
Brazil,BRA,2015,408.76,270.08,1990,204471759,South America
British Indian Ocean Territory,IOT,2015,,,,,Asia
British Virgin Islands,VGB,2015,,,,29148,North America
Brunei,BRN,2015,,,,414914,Asia
Bulgaria,BGR,2015,490.67,521.85,1995,7199739,Europe
Burkina Faso,BFA,2015,,,,18110616,Africa
Burundi,BDI,2015,,,,10160034,Africa
Cambodia,KHM,2015,,,,15521435,Asia
Cameroon,CMR,2015,,,,23298376,Africa
Canada,CAN,2015,519.69,482.16,1985,36026668,North America
Canada (Ontario),,2015,517.91,484.12,1985,,
Canada (Quebec),,2015,539.36,505.31,1990,,
Cape Verde,CPV,2015,,,,524740,Africa
Cayman Islands,CYM,2015,,,,61721,North America
Central African Republic,CAF,2015,,,,4493171,Africa
Chad,TCD,2015,,,,14110971,Africa
Channel Islands,OWID_CIS,2015,,,,165387,Europe
Chile,CHL,2015,455.97,332.04,1985,17969356,South America
China,CHN,2015,554.72,,,1406847868,Asia
Christmas Island,CXR,2015,,,,,Asia
Cocos Islands,CCK,2015,,,,,Asia
Colombia,COL,2015,413.67,352.36,1995,47520667,South America
Comoros,COM,2015,,,,777435,Africa
Congo,COG,2015,,,,4856093,Africa
Cook Islands,COK,2015,,,,17581,Oceania
Costa Rica,CRI,2015,422.54,,,4847805,North America
Cote d'Ivoire,CIV,2015,,,,23226148,Africa
Croatia,HRV,2015,491.55,,,4232874,Europe
Cuba,CUB,2015,,,,11324777,North America
Curacao,CUW,2015,,,,159850,North America
Cyprus,CYP,2015,518,438.76,1990,1160987,Europe
Czechia,CZE,2015,516.2,543.48,1995,10601390,Europe
Czechoslovakia,OWID_CZS,2015,,,,,Europe
Democratic Republic of Congo,COD,2015,,,,76244532,Africa
Denmark,DNK,2015,534.18,,,5688695,Europe
Djibouti,DJI,2015,,,,913998,Africa
Dominica,DMA,2015,,,,71175,North America
Dominican Republic,DOM,2015,337.71,344.74,1995,10281675,North America
East Germany,OWID_GDR,2015,,,,,Europe
Ecuador,ECU,2015,414.71,,,16212022,South America
Egypt,EGY,2015,397.83,,,92442549,Africa
El Salvador,SLV,2015,,,,6325121,North America
England,,2015,532.06,448.23,1985,,
Equatorial Guinea,GNQ,2015,,,,1168575,Africa
Eritrea,ERI,2015,,,,3342818,Africa
Eritrea and Ethiopia,OWID_ERE,2015,,,,,Africa
Estonia,EST,2015,542.42,,,1315330,Europe
Eswatini,SWZ,2015,,,,1104038,Africa
Ethiopia,ETH,2015,,,,100835453,Africa
Europe,,2015,,,,744222365,
Faeroe Islands,FRO,2015,,,,48055,Europe
Falkland Islands,FLK,2015,,,,2836,South America
Fiji,FJI,2015,,,,868632,Oceania
Finland,FIN,2015,531.13,458.37,1985,5481128,Europe
France,FRA,2015,499.18,505.94,1985,64453194,Europe
French Guiana,GUF,2015,,,,261007,South America
French Polynesia,PYF,2015,,,,273119,Oceania
French Southern Territories,ATF,2015,,,,,Antarctica
Gabon,GAB,2015,,,,1947690,Africa
Gambia,GMB,2015,,,,2085860,Africa
Georgia,GEO,2015,459.68,,,4024180,Asia
Germany,DEU,2015,524.26,491.27,1985,81787411,Europe
Ghana,GHA,2015,,,,27849203,Africa
Gibraltar,GIB,2015,,,,33742,Europe
Greece,GRC,2015,477.87,427.36,1990,10659737,Europe
Greenland,GRL,2015,,,,56378,North America
Grenada,GRD,2015,,,,109603,North America
Guadeloupe,GLP,2015,,,,400260,North America
Guam,GUM,2015,,,,161851,Oceania
Guatemala,GTM,2015,389.02,,,16252425,North America
Guernsey,GGY,2015,,,,,Europe
Guinea,GIN,2015,,,,11432096,Africa
Guinea-Bissau,GNB,2015,,,,1737207,Africa
Guyana,GUY,2015,,,,767433,South America
Haiti,HTI,2015,,,,10695540,North America
Hanover,OWID_HAN,2015,,,,,Europe
Heard Island and McDonald Islands,HMD,2015,,,,,Antarctica
Hesse Electoral,OWID_HSE,2015,,,,,Europe
Hesse Grand Ducal,OWID_HSG,2015,,,,,Europe
Honduras,HND,2015,,,,9112904,North America
Hong Kong,HKG,2015,605.4,505.88,1985,7185992,Asia
Hungary,HUN,2015,522.5,542.37,1985,9777925,Europe
Iceland,ISL,2015,511.8,420.17,1990,330237,Europe
India,IND,2015,,,,1310152392,Asia
Indonesia,IDN,2015,396.71,,,258383257,Asia
Iran,IRN,2015,433.92,381.91,1985,78492208,Asia
Iraq,IRQ,2015,,,,35572269,Asia
Ireland,IRL,2015,535.42,478.59,1990,4652420,Europe
Isle of Man,IMN,2015,,,,83232,Europe
Israel,ISR,2015,514.24,492.7,1990,7978496,Asia
Italy,ITA,2015,500.75,458.84,1985,60578489,Europe
Jamaica,JAM,2015,,,,2891024,North America
Japan,JPN,2015,590.89,565.04,1985,127985139,Asia
Jersey,JEY,2015,,,,,Europe
Jordan,JOR,2015,387.01,315.31,1990,9266573,Asia
Kazakhstan,KAZ,2015,536.11,,,17572010,Asia
Kenya,KEN,2015,,,,47878339,Africa
Kiribati,KIR,2015,,,,110927,Oceania
Kosovo,OWID_KOS,2015,,,,,Europe
Kuwait,KWT,2015,372.3,,,3835588,Asia
Kyrgyzstan,KGZ,2015,,,,5959126,Asia
Laos,LAO,2015,,,,6741160,Asia
Latvia,LVA,2015,508.22,147.23,1990,1997675,Europe
Lebanon,LBN,2015,454.42,,,6532681,Asia
Lesotho,LSO,2015,,,,2059011,Africa
Liberia,LBR,2015,,,,4472229,Africa
Libya,LBY,2015,,,,6418315,Africa
Liechtenstein,LIE,2015,,,,37465,Europe
Lithuania,LTU,2015,523.24,462.74,1995,2931872,Europe
Luxembourg,LUX,2015,508.88,439.85,1985,566741,Europe
Macao,MAC,2015,561.9,,,602093,Asia
Madagascar,MDG,2015,,,,24234080,Africa
Malawi,MWI,2015,,,,16745305,Africa
Malaysia,MYS,2015,474.05,,,30270965,Asia
Maldives,MDV,2015,,,,454914,Asia
Mali,MLI,2015,,,,17438772,Africa
Malta,MLT,2015,498,,,433559,Europe
Marshall Islands,MHL,2015,,,,57444,Oceania
Martinique,MTQ,2015,,,,378483,North America
Mauritania,MRT,2015,,,,4046304,Africa
Mauritius,MUS,2015,,,,1259457,Africa
Mayotte,MYT,2015,,,,240011,Africa
Mecklenburg Schwerin,OWID_MEC,2015,,,,,Europe
Mexico,MEX,2015,443.36,363.22,1995,121858251,North America
Mexico (Nuevo Leo),,2015,472.38,,,,
Micronesia (country),FSM,2015,,,,108886,Oceania
Modena,OWID_MOD,2015,,,,,Europe
Moldova,MDA,2015,443.29,,,4070705,Europe
Monaco,MCO,2015,,,,37723,Europe
Mongolia,MNG,2015,,,,2998433,Asia
Montenegro,MNE,2015,441.38,,,626957,Europe
Montserrat,MSR,2015,,,,4966,North America
Morocco,MAR,2015,380.75,,,34663608,Africa
Mozambique,MOZ,2015,,,,27042001,Africa
Myanmar,MMR,2015,,,,52680724,Asia
Nagorno-Karabakh,OWID_NAG,2015,,,,,Asia
Namibia,NAM,2015,,,,2314901,Africa
Nauru,NRU,2015,,,,10374,Oceania
Nepal,NPL,2015,,,,27015033,Asia
Netherlands,NLD,2015,530.27,475.33,1985,16938492,Europe
Netherlands Antilles,ANT,2015,,,,318504,North America
New Caledonia,NCL,2015,,,,271062,Oceania
New Zealand,NZL,2015,492.69,459.92,1985,4614527,Oceania
Nicaragua,NIC,2015,365.66,,,6223234,North America
Niger,NER,2015,,,,20001663,Africa
Nigeria,NGA,2015,,,,181137454,Africa
Niue,NIU,2015,,,,1610,Oceania
Norfolk Island,NFK,2015,,,,,Oceania
North America,,2015,,,,568911289,
North Korea,PRK,2015,,,,25183832,Asia
North Macedonia,MKD,2015,389,,,2079335,Europe
Northern Cyprus,OWID_CYN,2015,,,,,Asia
Northern Ireland,,2015,564.28,,,,
